Title,Price,Rating,Result Type,Image URL,Product Link
"HP 15, Intel Core 5-120U (16GB DDR4, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6''/39.6cm, Win11, M365 Basic(1yr), Office Home24, Silver,1.59kg, FD0640TU/fd0682tu, FHD Camera w/Shutter, BL Laptop",₹63267,3.5,Ad,https://m.media-amazon.com/images/I/71Go8vTBwXL._AC_UY218_.jpg,https://www.amazon.in/HP-Anti-Glare-Micro-Edge-FD0640TU-privacy/dp/B0FFTLRYRV/
"HP Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365*Office24, Glacier Silver, 1.59kg, fb0001QU, Backlit, Next-Gen AI Laptop",₹78950,4.2,Ad,https://m.media-amazon.com/images/I/71yaFtjgRzL._AC_UY218_.jpg,https://www.amazon.in/HP-Previously-Snapdragon-Processor-fb0001QU/dp/B0FRM3G9JF/
"HP 15 (2026), AMD Athlon Dual Core 7120U - (8 GB DDR5/512 GB SSD/AMD Radeon 610M Graphics/Windows 11 Pro) Thin and Light Business Laptop/15.6"" HD Display/Turbo Silver/Copilot Key/1.5kg/MS Office",₹39798,N/A,Organic,https://m.media-amazon.com/images/I/718-7YE0WQL._AC_UY218_.jpg,https://www.amazon.in/HP-15-Athlon-Dual-7120U/dp/B0GTYSL8KK
"Lenovo IdeaPad Slim 3, 12th Gen Intel Core i5-12450H (16GB LPDDR5, 512GB SSD), Anti-glare, FHD 15.6""(39.6cm), Win 11, Office Home 2024, Arctic Grey, 1.62Kg, 83ER00MDIN, Thin & Light, Backlit KB Laptop",₹54990,4.0,Organic,https://m.media-amazon.com/images/I/81leoJuYYaL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Anti-glare-83ER00MDIN/dp/B0FH71SN5N
"ASUS Vivobook 15, Thin & Light Laptop,(i5 14th Gen) Intel Core 5 120U (16GB/512GB SSD/Intel Graphics/ 15.6"" FHD/Windows 11 H/Office 2024+M365 Basic(1-Year)/Backlit KB/Terra Cotta), X1504VAP-BQ1543WS",₹58590,N/A,Organic,https://m.media-amazon.com/images/I/51VYCUy+6rL._AC_UY218_.jpg,https://www.amazon.in/ASUS-Vivobook-15-Graphics-X1504VAP-BQ1543WS/dp/B0GVT7T169
Thomson NEO 14.1 Inch IN-P14C Intel Celeron Dual Core N4020 Processor & Window 11 Home Notebook (4 GB RAM DDR4/ 128 GB SSD/Numeric Touch Pad/Thin & Light Weight/Silver),₹12990,3.3,Organic,https://m.media-amazon.com/images/I/71IWq5rtazL._AC_UY218_.jpg,https://www.amazon.in/Thomson-Processor-Window-Notebook-Numeric/dp/B0DYVQYGP9
"ASUS Chromebook CX1405 (2026), Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop",₹28990,N/A,Organic,https://m.media-amazon.com/images/I/61d+uhYgdNL._AC_UY218_.jpg,https://www.amazon.in/ASUS-Chromebook-CX1405-Processor-CX1405CTA-S60622/dp/B0GV15KBMK
"EBook 11.6"" HD Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB DDR4 | 128GB eMMC + M.2 SSD Expandable Slot | Win 11 Home |31Wh Battery | UHD Graphics 600 | Black",₹11501,2.9,Organic,https://m.media-amazon.com/images/I/71F8TUSryhL._AC_UY218_.jpg,https://www.amazon.in/Neopticon-Student-Celeron-Expandable-Graphics/dp/B0G2MT8YVV
"Samsung Galaxy Book6 (Gray, 16GB RAM, 512GB SSD) | Intel Core Ultra 7 (Series 3) | 16"" WUXGA+ Display with Touchscreen | 24Hrs Battery Life | 120 Hz Refresh Rate | Dolby Atmos Stereo Speakers | AI PC",₹124990,2.0,Organic,https://m.media-amazon.com/images/I/71efDx+EJBL._AC_UY218_.jpg,https://www.amazon.in/Samsung-Display-Touchscreen-Battery-Speakers/dp/B0GSZTFC3Z
"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 128GB SSD | Windows 11 | 38Wh | 1.3kg | Grey",₹13990,2.8,Organic,https://m.media-amazon.com/images/I/71h+7L8gcrL._AC_UY218_.jpg,https://www.amazon.in/Neopticon-BrowseBook-Student-Celeron-Windows/dp/B0FC64RYH1
"Dell G15, 13th Gen Intel Core i5-13450HX Processor, NVIDIA RTX 3050-6GB, (16GB RAM 1TB SSD) FHD 15.6""/39.62 cm, Orange Backlit Keyboard, Win 11, MS Office'24, Dark Shadow Grey, 2.65Kg Gaming Laptop",₹79590,4.1,Ad,https://m.media-amazon.com/images/I/61ko2a0owDL._AC_UY218_.jpg,https://www.amazon.in/Dell-Smartchoice-G15-5530-Gaming-i5-13450HX/dp/B0CRKXDX83/
